sym,ts,lp,bid_price,bid_quantity,ask_price,ask_quantity
EUR/AUD,2018-12-06T13:00:00.429Z,LP6,1575880,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.429Z,LP6,1575880,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.429Z,LP3,1575880,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.429Z,LP3,1575880,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.429Z,LP5,1575830,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.438Z,LP0,1575760,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.439Z,LP5,1575830,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.441Z,LP7,1575810,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.441Z,LP7,1575810,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.441Z,LP4,1575850,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.441Z,LP4,1575850,100000000,1576020,100000000
EUR/AUD,2018-12-06T13:00:00.441Z,LP5,1575810,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.441Z,LP5,1575810,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.441Z,LP3,1575860,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.441Z,LP3,1575860,100000000,1576010,100000000
EUR/AUD,2018-12-06T13:00:00.441Z,LP6,1575860,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.441Z,LP6,1575860,100000000,1576010,100000000
EUR/AUD,2018-12-06T13:00:00.451Z,LP7,1575810,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.451Z,LP7,1575820,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.451Z,LP4,1575850,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.451Z,LP4,1575860,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.451Z,LP3,1575860,100000000,1576020,100000000
EUR/AUD,2018-12-06T13:00:00.451Z,LP3,1575870,100000000,1576020,100000000
EUR/AUD,2018-12-06T13:00:00.451Z,LP5,1575810,100000000,1576070,100000000
